Registro MySQL,Nome do Pai My SQL,Nome da Mãe MySQL,Registration Mongo,FatherName Mongo,MotherName Mongo,Comparação
,it* starsupernova stopthinking,it* lynxlynx tiramisue,,highlandkatz twist and shout,
032479,rw qgc us* rocknrags heartbreaker,us* echoglen chloe of rockcreek,032479,,
032359,br* dolce vita rags love me do,ic br* dolce vita rags abby,032359,,dolce vita rags abby
031907,br* ghattas biscuit,br* ghattas salma,031907,,ghattas sansa
029909,de* summerplace kasablanca,ch de* paradiselsland's esmee,029909,,
032103,nl* santino of the catplanet,sc dk* wytopitlock chloé,032103,santino of the catplanet,
029900,nl* santino of the catplanet,ch br* triunfo demi moore,029900,santino of the catplanet,triunfo demi moore
032627,"gic it* clabacoon's robespierre, jw","ww'10 it* suryamainecoon que bonita, jw dvm",032627,,
032063,gc ru* ark star kenzo,ch ru* ark star mystical cross,032063,,
,,,,highlandkatz twist and shout,
028247,br* british castle's boris,br* british castle's princess mey,028247,,british castle's princess mey
029741,ch ar* imagination harpo,br* british castle's lady mary lou,029741,imagination harpo,
031059,ch ar* imagination harpo,ch br* british castle's lady shiva,031059,imagination harpo,
026449,ch ar* imagination harpo,br* british castle's lady mary lou,026449,imagination harpo,
029213,ic ar* imagination brian adams,br* british castle's lady zanta,029213,,
031062,ch ar* imagination harpo,ch br* british castle's lady shiva,031062,imagination harpo,
032622,uy* luciernagas fantasy,uy* luciernagas eternity,032622,,luciernagas eternity
032621,uy* luciernagas fantasy,uy* luciernagas eternity,032621,,luciernagas eternity
032629,ic ar* imagination brian adams,br* british castle's potinara,032629,,
027538,ch us* soulmates spirit to win,ic us* soulmates wind flower,027538,,
032631,ic es* joker siberian bastet,ch cz* carmen wild taiga,032631,,
032630,cz* escondito bandito charmed cats,ch cz* sasenka z tichého údolÍ,032630,,
032336,it* black is black panaque blu suttoni,it* nenemos natmos della tribú del deserto,032336,,
031139,sc br* katzecoon white devil,pt* lusocats eternity white,031139,,
031591,br* yaciretá royal diamond,br* yaciretá nana pessoa,031591,,
032480,us* drinkwater storm cat,ca* dazzledots chocolate kisses,032480,,
032583,ca* dazzledots amazon of tigrinus,br* tigrinus gabriela,032583,,
027100,ic pl * alwaro edom faon ,sc fi* escape's eternity,027100,,
027738,sc pl* esus second tiili ,ic pl*  lavender love candy,027738,,
032470,gic br* magahara summer storm,br* magahara katy perry,032470,magahara summer storm,magahara katy perry
031903,ch ca* majesticride shadow weaver,pt* added addiction blanche neige,031903,,
030232,ww05'06'07 ec us* aluren famous blanche neige dsm,us* aluren nyali jungle,030232,,
030233,us* aluren spotlights on blanche neige,ca* wildforest dream blanche neige,030233,,
032616,br* rudokas cats zeus,br* fluffycats la belle mayling,032616,,
028976,sc br* primo amore tal pai pai,br* phoenix thiffany,028976,,
028977,sc br* primo amore tal pai pai,br* cheyenne rose colorend,028977,,
023586,rudokas cats yugui,primo amore atração,023586,,
025958,br* cat la belle mago merlin,br* promenades lady stephany,025958,,
032458,br* british castle`s tora,ru* fanny rauschen cattery,032458,,fanny rauschen cattery
029024,ic br* butterfly blue ,br* heavenly bliss' mint chocolate,029024,,
032250,br* fluffy cats cokie chocolate,br* heavenly bliss' mint chocolate,032250,,
032418,ch pt* true star brown sugar,br* isabeau de saint christin,032418,,
032108,fi* arhantin harrison,ar* mision lofoten donna,032108,arhantin harrison,
032223,ar* maele eliot,ar* maele augustina,032223,maele eliot,maele augustina
030442,ch de* diamond beach easy rider,br* eau de vie pérola,030442,,
030429,ch de* diamond beach easy rider,br* muskogee alexia,030429,,
030425,ch de* diamond beach easy rider,br* lelucci alanis,030425,,
031371,br* cerberuss gustav eiffel,br* eau de vie pérola,031371,,
032392,gic br* muskogee lone star,br* eau de vie shadow,032392,,
032388,gic br* muskogee lone star,br* eau de vie pérola,032388,,
039774,gic se* utblicken's viggen,"nw ch se* rockringen's pretty ugly, jw",039774,utblicken's viggen,rockringen's pretty ugly
039775,gic se* utblicken's viggen,ch br* miadore oi tudo bem,039775,utblicken's viggen,miadore oi tudo bem
,ch ar* bosques vikingos nemo,es* luna bosques del zar,,highlandkatz twist and shout,
025771,br* heavenly bliss' titans flame,br* eternal moment de saint cristin,025771,,
031590,ic ar* imagination brian adams,br* british castle's sharon,031590,,british castle's sharon
032073,ch de* diamondbeach easy rider,br* katzecoon fergie,032073,,
,br* etnia gt nego blue,br* norbin sophie,,highlandkatz twist and shout,
029597,gic us* whisperwood's stardust,br* growlight tayla,029597,,
026287,br* promenade's lord christopher,ic us* whisperwood's angel kiss,026287,,
029628,br* heavenly bliss heaven can wait ,gic br* spielbergs lara,029628,,
017773,br* tel-aviv harkaben ii ben flyer,br* tel-aviv bambina ben figaro,017773,,
031646,gic us* whisperwood's stardust,br* promenade's lady pietra,031646,,
029602,ic br* petitgatô's charlie,br* sophie de piazza di gato,029602,,
031647,ic br* petitgatô's charlie,ch br* petitgatô's mirella,031647,,
,br* heavenly bliss' heaven can wait ,gic br* spielberg's mihra,,highlandkatz twist and shout,
031745,ic br* petitgatô's charlie,br* petitgatô's petra,031745,,petitgatô's petra
" 029589",ru* larix's benjamin,br* promenade's lady pietra," 029589",,
029581,br* promenade's lord christopher,br* aretha i de piazza di gato,029581,,
029587,ru* larix's benjamin,br* ksi cats lady shelly,029587,,
029606,gic de* thueringen's back in black,br* promenade's lady bianca,029606,,
028962,gic de* baloghshof schwarser kaiser of ferrkat,br* arstat isabeau of ferrkat,028962,,
032757,br* zarref golden frodo,br* zarref silver piaf,032757,,
032578,br* zarref golden frodo,br* zarref silver frida,032578,,
029666,de* tips n tails escobar,ch* br* katzecoon tiffany,029666,,
032603,ch de* diamond beach easy rider,br* ravagnani dalila 26th,032603,,
032609,ch de* diamond beach easy rider,br* ravagnani angel 1th,032609,,ravagnani angel 1st
030915,pl* indiana jones frotka,pt* artsycats sarah vaughan,030915,,
029651,de* tips n tails escobar,ch br* katzecoon tiffany,029651,,
030920,pl* indiana jones frotka,pt* artsycats sarah vaughan,030920,,
032573,br* fluffy cats cokie chocolate,br* gipsy flower esmeralda lilás,032573,,
032575,br* fluffy cats cokie chocolate,br* gipsy flower esmeralda lilás,032575,,
026013,ic br* chateaubrian ben french de tel-aviv,ic br* omori gioconda,026013,,
030854,br* british castle's boris ,br* british castle's sophie,030854,,british castle's sophie
031061,ch ar* imagination harpo,ch br* british castle's lady shiva,031061,imagination harpo,
032655,br* zanco bahuan,br* jungle's angel,032655,zanco bahuan,
,br* marco antonio di parma,br* lady yasmin de saint christin,,highlandkatz twist and shout,
031122,de* miramacats' premiere,br* heavenly bliss' ushuaia,031122,,heavenly bliss' ushuaia
026167,br* heavenly bliss' breathless splendor,br* marylin monroe de saint christin,026167,,
032608,ch de* diamond beach easy rider,br* ravagnani dalila 26th,032608,,
032604,ch de* diamond beach easy rider,br* ravagnani dalila 26th,032604,,
,,,,highlandkatz twist and shout,
032564,gic br* portal de hórus smeagol,ch us* adoraelves citandra,032564,,adoraelves citandra
,amicats kohaco of yamasaki,yamasaki sakura,,highlandkatz twist and shout,
,deosiris iori de menphis,ch cherokee giga,,highlandkatz twist and shout,
033964,br* ghattas biscuit,br* ghattas atalanta,033964,,
,,,,highlandkatz twist and shout,
032734,ch de* diamondbeach easy rider,br* ravagnani amore 3rd,032734,,ravagnani amore 3rd
027483,br* delaunay steven gerrard,br* zarref silver nicole,027483,,
032777,br* ghattas michael kors,br* vanlui isolda,032777,,
025689,br* gipsy flower açafrão,br* taurus anabel,025689,,
029414,gc us* polcann's red button's of ghattas,br* ghattas indecency,029414,,
033447,br* ghattas biscuit,br* ghattas atalanta,033447,,
032501,ca* dazzledots midnight of tigrinus,br* tigrinus electra,032501,,
029477,ar* bosque vikingos cowboy,ar* bosque vikingos zsa zsa,029477,,bosques vikingos zsa zsa
032565,gic br* portaldehorus smeagol,ch us* adoraelves citandra,032565,,adoraelves citandra
031569,us* chamois sin pelo of adoraelves,capilano's bif naked of adoraelves,031569,,
042899,joy du tresor blanc *fr,br* betunes boneca,042899,,betunes boneca
,br* vales do zagro sirius black,br* segata nina,,highlandkatz twist and shout,
020585,iceberg top amikoshi *ru,de* calenacat's jakie bandito,020585,,
029145,us* pajeans louie louie ,ic br* heavenly bliss' betty boop,029145,,
030736,gic us* mykro's ignacio,ar* michel beaumont black,030736,,
032507,ar* maele eliot,ar* maele emili,032507,maele eliot,maele emily
032509,ar* maele eliot,ar* maele emili,032509,maele eliot,maele emily
032241,br* spazio fellini renoir,br* rudokas cats milady,032241,,
032785,br* ghattas michael kors,br* ghattas alice,032785,,
033590,fr* pantherabengals hot hit,ca* elysor cherry on cake of panthera,033590,,
033252,br* ghattas biscuit,br* ghattas ludmila,033252,,
031929,ca* dazzledots amazon of tigrinus,ny* pendekar silver fantasy,031929,,
031609,br* rudokas cats mont blanc,br* bluesavannah bijoux,031609,rudokas cats mont blanc,
026202,br* cigano di astolphis ,br* astolphis acquarella di damasco ,026202,,
028507,de* diamond beach flash gordon,br* katzecoon lua,028507,,
,,,,highlandkatz twist and shout,
031580,ic ar* imagination brian adams,br* british castle's princess saphira,031580,,
035867,ch it* kuorii soprano of d'eden lover,fr* d'eden lover aie aie aie,035867,,
033082,ch br* petitgatô's magaiver,ic us* whisperwood's angel kiss,033082,petitgatô's magaiver,
032593,br* kocka  bella brilliant edition,br* kocka bella mamma mia!,032593,kocka bella brilliant edition,
031341,ch cz* eucker's 24 carat brilliant,ch br* kocka bella floratta in gold,031341,,
032594,br* kocka bella brilliant edition,br* kocka bella mamma mia!,032594,kocka bella brilliant edition,
025592,aldo charmant angel *sk,cz* eucker's mintaka,025592,,
042627,us* cloistercoon harry houdini,alaska olimpian *ru,042627,,
,ca* dazzledots amazon of tigrinus,br* tigrinus cheetarah ,,highlandkatz twist and shout,
,br* benshemesh ozzy,br* bengalbrasilis tigrina,,highlandkatz twist and shout,
,br* tigrinus mini leopard perseu,br* bengalbrasilis tigrinus bonnie,,highlandkatz twist and shout,
032786,de* miramacats premiere,ch br* belly flame di parma,032786,,belly flame di parma
033086,br* petitgatô's amazing victory,br* victória de piazza di gato,033086,petitgatô's amazing victory,
025841,sc br* primo amore tal pai pai,br* cat la belle raiza,025841,,
033088,gic de* thueringen's back in black,br* petitgatô's lorenna,033088,,petitgatô's lorenna
033094,gic de* thueringen's back in black,br* petitgatô's brisa,033094,,petitgatô's laisa
030274,ur* suliko's mon chery,br* gurtier's brigite,030274,,
030644,us* paejean's louie louie,us* paejean's lady jasmine,030644,,
032585,ch au* shwayamore sweet oz magic,ch* sanuk suri,032585,,
023097,br* premadoshi rayane,ic br* growlight shine,023097,,
032870,pl* indiana jones frotka,pt* artsycats sarah vaughan,032870,,
031771,br* katzecoon frederico,br* cerberuss hava,031771,katzecoon frederico,
031770,br* katzecoon frederico,br* cerberuss hava,031770,katzecoon frederico,
031773,br* katzecoon frederico,br* cerberuss hava,031773,katzecoon frederico,
034210,pl* indiana jones frotka,br* katzecoon aretha,034210,,
032160,br* liebekatze marrok of mahavira,br* fortaleza evora of mahavira,032160,,
032159,br* ferrkat judan,br* urtigas lili,032159,,
032157,br* korban ralph lauren,ch br* ferrkat alandra,032157,,
032164,br* sathya apolo of thunderkeys,ar* pampa winnye amazonas,032164,sathya apolo of thunderkeys,
032136,ch br* abcoon apolo,br* bororo terra brasilis,032136,,
032175,ca* nightrox blaze star mind crazy,ca* nightmist forever in blue star,032175,,
032178,ca* nightrox blaze star mind crazy,ca* nightmist forever in blue star,032178,,
032174,ca* nightrox blaze star mind crazy,ca* nightmist forever in blue star,032174,,
032176,ca* nightrox blaze star mind crazy,ca* nightmist forever in blue star,032176,,
032165,br* pallazzo yasmim amon junior,br* tigrinus zahara,032165,,tigrinus kihara
032107,it* ruben dell'oreade,it* quintillia metella dell'oreade,032107,,
032166,ar* cmc floppy blue,ar* cmc bi only you,032166,,
034408,ar* cmc tango chino,br* aruak sia flora,034408,cmc tango chino,aruak sia flora
,,,,highlandkatz twist and shout,
032139,br* vonrhein portinari of maktub,br* maharishi rebeca dangelo,032139,,
032167,br* chinooks place dogma of ferrkat,br* oaks isabeau,032167,,
032169,br* korban ralph lauren,br* korban miragem,032169,,
029429,br* korban ralph lauren,br* korban miragem,029429,,
,,,,highlandkatz twist and shout,
,,,,highlandkatz twist and shout,
027783,br* Édipus white moon,ch de* baloghshof tchoutchuca,027783,,
